country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.284,,,,,,,,,0.43,,,,,0.128,,,,
Liberia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0134,,,,,,,
Libya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0449,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0736,,,,,0.0282,0.0248,0.0209,0.0106,0.00747,0.0135,0.0152,0.0102,0.0139,0.00629
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0235,,0.0594
Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0197,,,,
Maldives,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0411,
Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0373,,,,0.0458,,0.0009,
Malta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0177,0.0139,
Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,,,,,
Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,,,,,,,,,,,,,,,,0.0265,,,0.0122,,0.00733,
Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00783,0.0104,0.0138,0.0145,0.018,0.0111,0.0135,0.015,0.00647,0.0066,0.00584,0.00675,0.0067,0.00897,0.011,0.011,0.0109,0.012,0.0148,0.0157,0.0159,0.015,0.0155,0.0134,0.0115,0.00984,0.00988
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0038,0.0035,0.0125,,0.0066,0.0022,,0.0039,,,,,,,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0341,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0454,0.0449,0.0537,0.0265,0.0354,0.0182
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0031,0.0042,,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00337,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00183,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,,,,,,,,0.00989,,0.00837,,0.0328,
Nepal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00193,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00757,0.0291,0.0358,0.0159,0.0298,0.00995,0.0488,0.0313,0.0173,0.0297,0.0344,0.0429,0.0509,0.0483,0.0386,0.0391
New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016,0.0152,0.016,0.0341,0.0215,0.0222,0.0145,0.0147,0.0125,0.0126,0.00743,0.00784,0.008,0.0132,0.0152,0.0106,0.0142,0.0113,0.00777,0.0146,0.0193,0.00846,0.0128,0.0133,0.0197,0.0172,0.0166,0.0171,0.0159,0.0154,0.0116,0.0114
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0183,,,,,,0.0144,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0319,0.0321,0.0882,0.123,0.0631,0.0677,0.0942,0.0743,0.0681,,0.011,0.0119
Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0139,0.0169,0.0189,0.0196,0.0204,0.0221,0.0189,,0.0173,,0.0267,0.0407,,,,0.013,0.0155,0.00889,0.00508,0.0119,0.00724,0.00617,0.0048,0.00699,0.00685,0.00887,0.00904,0.011
Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128,,0.139,0.142,,0.169,,0.169,,0.145,,0.00341,,,,,,,0.0152,,0.0812,,
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.141,,,,,,,,,,,,,,,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0314,,,,,0.0257,0.0454,0.0947,0.0457,0.0559,0.038,0.0271,0.0321,0.0649,0.0844,0.0724,0.0273,0.0272,0.0312,0.0252,0.0639,0.0448,0.0543
Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0292,0.00592,0.00607,,,,,0.00722,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00425,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0279,0.0378,0.0127,0.00951,,0.0173,,,,0.0184,0.0101,0.013,0.0191,0.0136,0.022,0.02
Peru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0258,0.0183,0.0163,0.017,0.013,0.0125,0.0154,0.0175,0.0104,0.0153,0.008,0.0136,0.0106,0.014,0.0159,0.0189
Philippines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0141,,0.0917,0.0827,0.0822,0.0746,0.097,0.067,0.0636,0.0666,0.0751,0.0664,0.066,0.0705,0.0587,0.0646,0.00195,0.0709,0.00224,0.00193,0.00176,0.00203,0.00192,0.00169,0.00121,0.00122,0.00147,0.00112,0.00189,0.00189,,0.00217,0.00213
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0334,0.0226,0.023,0.0177,0.0151,0.0198,0.0193,0.0193,0.0397,0.0177,0.0228,0.0115,0.0125,0.0211,0.0148,0.02,0.0145,0.00798,0.019,0.0126,0.0156,0.0181,0.0181,0.0149,0.0143,0.0102
Portugal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00485,0.00653,0.00886,,,0.00209,,,0.0105,,,0.00447,0.00376,0.0023,,0.00291,,,0.00337,0.00214,0.000628,0.00221,0.00149,0.00355,0.00539,0.0101,0.0159,0.0125,0.0177,0.0252,0.0198,0.0249
Romania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000476,0.0011,0.00136,0.000806,0.000425,0.00111,0.000496,0.000534,,0.00102,0.00178,0.000778,0.00199
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0569,0.0406,0.0444,0.0524,0.0469,0.067,0.0872,0.0573,0.0445,0.0379,0.0276,0.0378,0.0406,0.0413,0.0257,0.0209,0.0372,0.0414,0.0376,0.0291,0.0309,0.0272,0.0283,0.0284,0.0319,0.0335
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.105
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0219,,0.0217,,,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0303,,,,,,0.0104,0.0208,
Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,0.0093,0.0264,,,,,,,,,,,,,,,
Senegal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0209,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0069,0.01,0.0096,,,,,0.0304,0.00946,0.0071,0.00945,0.00762,0.015
Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,,,
Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0098,,0.0379,0.0115,,0.0119,,0.0112,0.0093,0.0138,0.0082,0.0047,0.0154,0.0159,0.0083,0.0424,,0.014,0.0374,0.0286,0.0337,,0.0369,0.0271,0.0326,0.0467,0.0292,0.0301,0.0438,0.037,0.0337,0.0416,0.0387,
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0938,0.06,0.124,0.0641,0.119,0.0837,0.165,0.0881,0.127,,0.0879,0.0914,,0.0278,0.0163,0.0128,0.0266,0.0243,0.0366,0.0411,0.0641,0.0272,0.0246,0.0187
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0767,,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164,0.0703,0.0758,0.0642,0.0801,0.0714,0.0648,0.0718,0.0776,0.0439,0.0325,0.0452,0.0375,0.0397,0.0322,0.0405,0.0302,0.0425
South Korea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00556,0.00383,0.00247,0.00605,0.00364,0.00227,0.00316,0.00285,0.00274,0.00172,0.00162,0,0,0.00155,0.00144,0.00135,0.00251,0.00461,0.0166,0.0097,0.006,0.005,0.005,0.004,0.007,0.007,0.007,0.007,0.008,0.012,0.024,0.022,0.021,0.015,0.02,0.024,0.023,0.028
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0199,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0285,0.0175,0.0148,0.0156,0.0123,0.0161,0.0398,0.0246,0.0235,0.0197,0.0141,0.0162,0.0152,0.0107,0.0171,0.015,0.0158,0.0204,0.0161,0.0232,0.0171,0.0142,0.0249,0.0278,0.0252,0.0206,0.04,0.0635,0.052,0.0409,0.0441,0.0407
Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0025,0.0047,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0189,,,,,,,,,,,0.0211,,,,,,,,,,0.0115,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177,0.152,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0141,0,0,0,0,,,,,,,0.022,,,0.0165,0.00685,0.022,0.0173,0.0207,0.0245,0.0207,0.0201,0.0262,0.0203,0.0279,0.0243,0.0246,0.0283
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00658,0.00454,0.00563,0.00318,0.00675,0.0153,0.011,,0.0233,,,,0.00631,0.00398,0.00536,0.00916,0.00908,0.00964,0.00739,0.00703,0.00752,0.00749,0.00739,0.00703,0.0158,0.0062,0.00538
Syria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0132,0.029,,,,0.0063,,0.0355,0.0063,,,,,,,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00649,,,,,0.00975,,,,,,,,0.00214,,,
Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.000145,0.0006,0.0001,,0.00026,0.000522,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0264,,,,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00247,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0196,,0.05,,0.044,0.044,,0.0482,0.0526,0.043,,0.0241,,,0.0198,0.0103,0.0213,,,0.0265,,,,,,,
Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00414,0.0144,0.0129,0.0143,0.0102,0.0301,0.014,0.011,0.0131,,,,
Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0145,0.0124,0.00952,0.00446,0.0108,0.0109,0.00733,0.00747,0.00914,0.00725,0.00533,0.00789,0.00857,0.00593,0.011,0.00662,0.00653,0.00459,0.00782,0.011,0.0128,0.00865,0.00849,0.01,0.0203,0.0234,0.0249,0.0204
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0051,0.0011,,,,,,,,,0.001,0.0025,0.0029,0.0028
United Arab Emirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0169,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0327,0.0433,0.0668,0.0767,0.0619,0.0527,0.068,0.0421,0.0515,0.0479,0.0439,0.0344,0.0261,0.0332,0.0334,0.0296,0.0236,0.0188,0.0192,0.0281,0.0198,0.0231,0.0198,0.0209,0.0174,0.0202,0.0279,0.0245,0.0227,0.0234,0.0195,0.0196,0.0167,0.0148,0.0145
United States,0.032,0.049,0.045,0.034,0.029,0.022,0.041,0.036,0.032,0.034,0.048,0.043,0.038,0.051,0.045,0.041,0.038,0.033,0.03,0.028,0.028,0.022,0.032,0.035,0.036,0.03,0.034,0.052,0.051,0.05,0.04,0.034,0.031,0.032,0.035,0.037,0.033,0.032,0.03,0.025,0.027,0.026,0.03,0.033,0.038,0.032,0.0397,0.0394,0.035,0.0321,0.0317,0.0308,0.0307,0.0295,0.0365,0.0383,0.0358,0.0348,0.029,0.0327,0.0423,0.0644,0.0669,0.0654,0.0622,0.0535,0.0462,0.0383,0.0383,0.0359
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0504,0.0426,0.053,0.0432,0.028,0.0339,0.0322,0.0272,0.0273,0.0225,0.0212,0.0269,0.028,0.0203
Vanuatu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0154,,,,,,,,
Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0537,0.0374,0.0258,0.0227,0.0237,0.0273,0.0215,0.0205,,,,,
Vietnam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0029,,,0.000884,,,0.0005,0.000687,0.000559,0.000386,0.000775,0.00181,0.00282,0.002
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0273,,,,,,,,,,,,,,,0.012,,,
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0084,,,,,
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,,0.0095,,,,,0.007,,,,,,,0.0111,,,0.0331,,,
