country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Albania,0.563,0.563,0.563,0.531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Algeria,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.625,0.5,0.5,0.5
Angola,0.563,0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.5,0.5
Argentina,0.563,0.563,0.563,0.594,0.625,0.625,0.625,0.625,0.625,0.688,0.688,0.688,0.625
Armenia,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.25,0.188,0.188,0.25
Australia,0.875,0.875,0.875,0.907,0.938,0.938,0.938,0.938,0.875,0.875,0.875,0.875,0.875
Austria,0.875,0.844,0.813,0.813,0.813,0.813,0.813,0.813,0.75,0.75,0.688,0.688,0.688
Azerbaijan,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Bahrain,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Bangladesh,0.625,0.5,0.375,0.438,0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Belarus,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.625,0.625,0.625,0.563,0.563
Belgium,0.688,0.719,0.75,0.75,0.75,0.75,0.75,0.75,0.688,0.688,0.688,0.688,0.688
Benin,0.688,0.625,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Bhutan,0.375,0.406,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Bolivia,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Bosnia and Herzegovina,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.375,0.375,0.375
Botswana,0.688,0.657,0.625,0.657,0.688,0.688,0.688,0.75,0.75,0.75,0.75,0.75,0.75
Brazil,0.563,0.563,0.563,0.5,0.438,0.438,0.438,0.438,0.625,0.375,0.375,0.5,0.5
Bulgaria,0.5,0.531,0.563,0.5,0.438,0.438,0.438,0.438,0.5,0.5,0.438,0.438,0.438
Burkina Faso,0.563,0.531,0.5,0.438,0.375,0.375,0.375,0.5,0.5,0.563,0.563,0.563,0.563
Burundi,0.625,0.625,0.625,0.594,0.563,0.563,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Cambodia,0.5,0.5,0.5,0.5,0.5,0.5,0.563,0.563,0.563,0.5,0.5,0.563,0.563
Cameroon,0.563,0.531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.438
Canada,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
Cape Verde,0.688,0.657,0.625,0.657,0.688,0.625,0.625,0.625,0.625,0.625,0.688,0.688,0.688
Central African Republic,0.188,0.188,0.188,0.219,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.188,0.188
Chad,0.5,0.469,0.438,0.438,0.438,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Chile,0.625,0.625,0.625,0.657,0.688,0.625,0.625,0.688,0.688,0.688,0.688,0.75,0.813
China,0.625,0.625,0.625,0.594,0.563,0.563,0.5,0.5,0.5,0.625,0.625,0.625,0.625
Colombia,0.438,0.438,0.438,0.406,0.375,0.375,0.375,0.375,0.375,0.438,0.438,0.5,0.563
Comoros,0.563,0.531,0.5,0.438,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
"Congo, Dem. Rep.",0.375,0.344,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.438,0.438,0.375,0.313
"Congo, Rep.",0.563,0.469,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
Costa Rica,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.75
Cote d'Ivoire,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Croatia,0.563,0.563,0.563,0.531,0.5,0.5,0.563,0.563,0.563,0.563,0.5,0.5,0.5
Cuba,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Cyprus,0.625,0.688,0.75,0.657,0.563,0.563,0.563,0.563,0.563,0.625,0.688,0.688,0.688
Czech Republic,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.75,0.688,0.688,0.688,0.688,0.688
Denmark,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
Djibouti,0.5,0.5,0.5,0.5,0.5,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Dominican Republic,0.563,0.563,0.563,0.594,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.563,0.5
Ecuador,0.313,0.313,0.313,0.344,0.375,0.375,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Egypt,0.688,0.594,0.5,0.5,0.5,0.563,0.563,0.375,0.313,0.375,0.375,0.375,0.375
El Salvador,0.438,0.469,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.375
Equatorial Guinea,0.5,0.469,0.438,0.469,0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Eritrea,0.625,0.625,0.625,0.625,0.625,0.625,0.688,0.688,0.688,0.688,0.688,0.688,0.688
Estonia,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.688,0.688,0.688,0.688,0.688
Eswatini,0.313,0.375,0.438,0.438,0.438,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Ethiopia,0.625,0.625,0.625,0.594,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.5
Fiji,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.563,0.563,0.563,0.563,0.563
Finland,0.875,0.875,0.875,0.907,0.938,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
France,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.688,0.625,0.625,0.563,0.563
Gabon,0.563,0.5,0.438,0.438,0.438,0.5,0.5,0.5,0.5,0.5,0.563,0.5,0.5
Gambia,0.563,0.563,0.563,0.531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.563,0.563
Germany,0.875,0.875,0.875,0.844,0.813,0.813,0.813,0.813,0.813,0.813,0.75,0.75,0.75
Ghana,0.438,0.438,0.438,0.469,0.5,0.5,0.5,0.563,0.563,0.625,0.625,0.625,0.625
Greece,0.75,0.75,0.75,0.75,0.75,0.688,0.688,0.688,0.625,0.625,0.625,0.688,0.688
Guatemala,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.5,0.438
Guinea,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.438,0.438,0.438,0.438
Guinea-Bissau,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.313,0.313,0.313,0.313,0.313
Guyana,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.5
Haiti,0.25,0.25,0.25,0.313,0.375,0.375,0.375,0.375,0.313,0.375,0.375,0.438,0.625
Honduras,0.5,0.5,0.5,0.469,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Hungary,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.625
Iceland,1,1,1,1,1,1,1,1,1,1,1,1,1
India,0.563,0.594,0.625,0.531,0.438,0.5,0.5,0.563,0.625,0.563,0.563,0.563,0.563
Indonesia,0.625,0.625,0.625,0.594,0.563,0.563,0.563,0.625,0.625,0.625,0.625,0.563,0.563
Iran,0.563,0.531,0.5,0.375,0.25,0.25,0.25,0.25,0.25,0.313,0.313,0.313,0.313
Iraq,0.563,0.5,0.438,0.406,0.375,0.375,0.375,0.375,0.438,0.438,0.438,0.5,0.5
Ireland,0.875,0.875,0.875,0.875,0.875,0.813,0.813,0.875,0.875,0.938,1,1,1
Israel,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Italy,0.813,0.813,0.813,0.813,0.813,0.75,0.75,0.75,0.75,0.813,0.813,0.813,0.688
Jamaica,0.625,0.625,0.625,0.625,0.625,0.625,0.688,0.688,0.688,0.688,0.688,0.688,0.625
Japan,0.875,0.875,0.875,0.813,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Jordan,0.5,0.5,0.5,0.438,0.375,0.375,0.375,0.375,0.375,0.438,0.438,0.438,0.438
Kazakhstan,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Kenya,0.625,0.594,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Kuwait,0.563,0.531,0.5,0.469,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Kyrgyz Republic,0.5,0.469,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.5,0.375,0.438,0.438
Lao,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Latvia,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.688,0.688,0.688,0.688,0.688
Lebanon,0.625,0.563,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.563,0.563
Lesotho,0.625,0.594,0.563,0.469,0.375,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Liberia,0.563,0.563,0.563,0.531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.563
Libya,0.5,0.5,0.5,0.5,0.5,0.625,0.625,0.563,0.563,0.563,0.563,0.563,0.5
Lithuania,0.563,0.594,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
Luxembourg,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
Madagascar,0.688,0.625,0.563,0.594,0.625,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Malawi,0.438,0.5,0.563,0.563,0.563,0.563,0.625,0.625,0.625,0.625,0.625,0.625,0.625
Malaysia,0.75,0.75,0.75,0.688,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
Mali,0.563,0.563,0.563,0.563,0.563,0.563,0.313,0.625,0.625,0.625,0.625,0.625,0.563
Malta,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875
Mauritania,0.313,0.344,0.375,0.344,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313
Mauritius,0.813,0.813,0.813,0.813,0.813,0.813,0.875,0.875,0.875,0.875,0.875,0.875,0.875
Mexico,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.438,0.313
Moldova,0.5,0.5,0.5,0.406,0.313,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Mongolia,0.563,0.563,0.563,0.563,0.563,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Montenegro,0.563,0.563,0.563,0.531,0.5,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Morocco,0.563,0.563,0.563,0.531,0.5,0.438,0.5,0.5,0.5,0.563,0.563,0.563,0.563
Mozambique,0.688,0.657,0.625,0.594,0.563,0.563,0.563,0.563,0.563,0.563,0.5,0.5,0.5
Myanmar,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.688,0.688,0.563,0.563
Namibia,0.875,0.782,0.688,0.625,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Nepal,0.563,0.594,0.625,0.594,0.563,0.563,0.438,0.563,0.563,0.563,0.563,0.563,0.563
Netherlands,1,1,1,0.907,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813
New Zealand,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813
Nicaragua,0.375,0.438,0.5,0.531,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Niger,0.375,0.375,0.375,0.375,0.375,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Nigeria,0.438,0.438,0.438,0.375,0.313,0.313,0.313,0.313,0.313,0.5,0.438,0.375,0.375
North Korea,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
North Macedonia,0.375,0.375,0.375,0.406,0.438,0.438,0.438,0.438,0.438,0.438,0.375,0.375,0.375
Norway,0.813,0.844,0.875,0.907,0.938,0.938,1,1,1,1,1,1,1
Oman,0.5,0.5,0.5,0.469,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Pakistan,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.375,0.375,0.25,0.25,0.25,0.25
Palestine,0.688,0.657,0.625,0.531,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Panama,0.563,0.563,0.563,0.531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Papua New Guinea,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.563,0.563,0.563,0.563,0.563
Paraguay,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Peru,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.5,0.5,0.438,0.438,0.5,0.563
Philippines,0.375,0.344,0.313,0.313,0.313,0.313,0.313,0.313,0.438,0.438,0.438,0.438,0.438
Poland,0.563,0.563,0.563,0.5,0.438,0.438,0.438,0.438,0.625,0.438,0.438,0.438,0.438
Portugal,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.688,0.688,0.688,0.688,0.688,0.688
Qatar,0.5,0.469,0.438,0.5,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563
Romania,0.5,0.5,0.5,0.438,0.375,0.438,0.438,0.438,0.5,0.5,0.5,0.438,0.438
Russia,0.375,0.375,0.375,0.344,0.313,0.313,0.25,0.25,0.25,0.25,0.25,0.25,0.25
Rwanda,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.438,0.438,0.438
Saudi Arabia,0.438,0.406,0.375,0.375,0.375,0.313,0.313,0.313,0.313,0.313,0.313,0.313,0.313
Senegal,0.563,0.563,0.563,0.531,0.5,0.563,0.563,0.563,0.563,0.563,0.625,0.625,0.625
Serbia,0.563,0.563,0.563,0.5,0.438,0.438,0.438,0.5,0.5,0.5,0.5,0.5,0.5
Sierra Leone,0.375,0.438,0.5,0.531,0.563,0.563,0.625,0.625,0.625,0.625,0.625,0.625,0.625
Singapore,0.75,0.75,0.75,0.75,0.75,0.75,0.688,0.688,0.625,0.625,0.625,0.625,0.625
Slovak Republic,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.563,0.563,0.563
Slovenia,0.688,0.688,0.688,0.657,0.625,0.625,0.625,0.625,0.563,0.563,0.563,0.625,0.625
South Africa,0.688,0.688,0.688,0.657,0.625,0.625,0.625,0.625,0.625,0.5,0.5,0.5,0.5
South Korea,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Spain,0.875,0.875,0.875,0.813,0.75,0.75,0.75,0.75,0.688,0.813,0.813,0.75,0.75
Sri Lanka,0.75,0.75,0.75,0.719,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.625,0.625
Sudan,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Suriname,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Sweden,0.938,0.938,0.938,0.938,0.938,0.938,1,1,1,1,1,1,1
Switzerland,0.875,0.907,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938,0.938
Syria,0.688,0.625,0.563,0.563,0.563,0.563,0.5,0.563,0.5,0.438,0.438,0.438,0.438
Tajikistan,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625,0.625
Tanzania,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.563,0.625,0.563,0.563
Thailand,0.563,0.625,0.688,0.657,0.625,0.625,0.625,0.5,0.5,0.5,0.5,0.5,0.5
Timor-Leste,0.625,0.657,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688,0.688
Togo,0.563,0.5,0.438,0.469,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Trinidad and Tobago,0.563,0.563,0.563,0.531,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.563
Tunisia,0.688,0.625,0.563,0.563,0.563,0.625,0.625,0.625,0.625,0.688,0.625,0.625,0.625
Turkey,0.375,0.438,0.5,0.5,0.5,0.5,0.5,0.5,0.563,0.563,0.563,0.563,0.5
Turkmenistan,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Uganda,0.625,0.625,0.625,0.594,0.563,0.625,0.625,0.625,0.625,0.625,0.688,0.688,0.688
Ukraine,0.563,0.594,0.625,0.531,0.438,0.438,0.438,0.438,0.5,0.5,0.5,0.625,0.625
United Arab Emirates,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
United Kingdom,0.813,0.844,0.875,0.844,0.813,0.813,0.875,0.875,0.875,0.875,0.875,0.813,0.813
United States,0.875,0.875,0.875,0.844,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.813,0.75
Uruguay,0.688,0.719,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
Uzbekistan,0.5,0.5,0.5,0.5,0.5,0.5,0.438,0.438,0.625,0.5,0.5,0.5,0.5
Venezuela,0.5,0.469,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438,0.438
Vietnam,0.438,0.438,0.438,0.5,0.563,0.625,0.625,0.688,0.688,0.688,0.688,0.563,0.563
Yemen,0.438,0.469,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
Zambia,0.625,0.625,0.625,0.594,0.563,0.625,0.625,0.625,0.688,0.688,0.688,0.688,0.688
Zimbabwe,0.563,0.563,0.563,0.563,0.563,0.5,0.5,0.5,0.5,0.563,0.563,0.563,0.563
