country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,80.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.12,6.32,,,,,,,,,,,,5.43,5.24,3.06,5.17,6.07,3.06,
Algeria,,,,,,,,,,,,,,,38.1,,,,,,,,,,,24.6,24.5,20.8,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,25.7,25.9,23.6,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,1.3,,4.69,1.44,
Argentina,,,,,35,32.9,,,,,,,,,,,,,,,,,,,,,,,3.57,2.62,0.851,1.51,2.61,2.84,1.77,2.02,3.1,2.74,2.61,2.43,1.67,1.98,1.11,0.773,0.511,0.383,0.129,0.00779,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.06,6.21,5.44,,2.06,2.48,5.26,,,,,6.8,7.37,8.21,
Australia,,,,,,,,,,,,,,,,,,,,,,,,1.02,1.46,1.6,0.828,,,,,,,,,,,,,,,,,0.616,0.422,0.17,1.1,1.88,,
Austria,,4.62,4.77,,4.22,2.17,2.62,,,,,,,,,,,,,,,,,,,,,,,1.71,0.272,,0.0683,0.0689,0.209,0.949,2.21,2.26,2.03,1.69,1.92,2.52,3.53,3.26,2.88,1.97,0.338,0.156,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,11.2,10.8,11,11.6,12.6,12.8,12.7,12.6,9.79,5.98,0.426,0.522,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,0.469,,,,,,,8.04,,,,,11.3,3.41,3.72,1.56,5.35,8.96,15.1,18,16.6,21.9,17.8,34,30.1,,29.5,
Bahrain,,,,,,,,8.64,8.9,7.9,,,6.11,2.58,8.69,3.89,5.56,7.06,,3.35,,,0,,0.205,0.244,,2.16,1.19,0.568,2.07,0.325,0.882,0.751,1.68,3.05,3.22,,,,,9.83,10.8,5.95,2.79,2.41,2.98,3.98,4.74,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.1,30.4,,,27.3,25.7,,,,,,,,,
Barbados,,,,,,,,,,,,5.75,,6.53,,,,,,9.59,,,,,,,,,,3.54,6.06,7.99,1.96,3.01,2.46,3.97,4.68,8.42,14.1,9.51,10.3,7.25,,,1.2,1.2,3.09,1.81,3.83,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.86,2.25,2.2,1.05,1.11,1.2,1.49,,,1.99,2.07,2.01,0.0963,0.0143,0.0745,0.151,1.29,1.06,
Belgium,,,,,,,,2.13,,,,,,,,,,,,,,,,0.018,0.234,0.0719,0.87,,,3.29,1.44,0.0523,0.0653,0.117,0.0205,0.226,1.07,4.43,5.41,3.97,2.22,1.37,1.34,0.7,0.768,2.42,2.89,1.38,,
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,5.46,7.89,,3.49,,8,10.2,10.8,12.2,12.8,13.2,13.8,9.3,9.03,9.74,11.2,12.3,11.2,10.1,
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.4,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9,50.7,48.8,46.1,,,,36.3,33.4,,26,26.1,22.4,19.7,16.6,18.6,,15,14.4,13.1,12,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,4.56,2.81,,,,,,,,,3.64,4.34,6.02,3.51,4.44,8.38,10.8,12.8,14.5,13.5,
Botswana,,59.1,60.5,46.6,48.9,50.7,52,49.8,48,42.6,39.7,55.4,,,37.9,35.3,39.7,,,18.1,17.9,8.6,14.2,11.4,8.96,3.94,,,,2.29,3.17,,1.72,1.61,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,,1.03,,3.36,,,,,3.71,4.94,,
Brunei,,,,,,,,16.3,16,13.9,13.3,12.3,13.3,11,13.1,,,,,,,,,,,,,,,,,,,,,0.262,1.71,1.12,0.414,1.34,2.85,0.517,0.728,1.38,2.79,,,,0.321,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,4.27,3.7,4.42,4.44,3.4,3.5,3.02,3.45,4.18,6.84,8.03,9.58,10.8,9.15,5.41,3.64,0.245,0.224,2.82,7.13,10.1,,
Burkina Faso,,,,,,,,,,,,,,92.9,,,,,,88.3,,,,,,,,,,79.5,,83.9,,81.2,79.5,80.6,77.7,76.7,73.7,69.4,54.1,52.4,50,46.9,,42,48,47,43.8,
Burundi,,,,,,,,,,,88.1,,85.8,84.9,84.2,83.4,80,76.2,,,,,,67.4,,,,,,,,,,,,,,,,35.7,30.8,,,,,,,31.1,32.8,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.1,86.4,85.5,83.5,79,75.3,75.7,71.3,36.5,16.9,21.6,,16.2,28.6,26.9,,17.2,13.3,,,,
Cameroon,,55.3,54.4,55.6,43,51.7,51.6,51.8,51,50.3,49.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1,,36.4,35.4,36.7,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,,0.435,,,,,,,,,,,,,,,,,,0.301,0.489,0.287,0.0725,,,,
Cape Verde,,,,,,,,,,,,,,,,,,49.3,,,,,,,42.6,,,,,,,,0.78,4.01,6.17,4.01,6.73,7.3,,6.72,7.56,,7.33,6.75,8.7,11.2,12.7,13.3,13.5,
Central African Republic,,71,75.7,72.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2,,55.5,55.9,,,,,,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.3,74.9,72.7,69.7,68.2,66.7,,,,,,,,,,,,61.9,60.7,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.28,4.35,5.24,3.1,2.73,2.88,2.13,1.3,2.19,3.33,5.05,,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,9.27,7.59,6.66,4.42,4.62,2.57,4.45,4.31,5.95,7.97,8.37,7.5,5.92,
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.6,27.9,,,29.5,19.2,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,49.6,47.5,55.5,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",,,30.3,,22.2,,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,33.6,,,32.7,,37.5,37.4,,,30.8,,30.9,34.3,,,33.8,31.8,31.7,,31.6,30.2,28.9,26.8,26.7,22.9,25.4,30.7,,,,,,,,,,,,,,,8.34,8.3,6.46,6.26,5.88,5.44,8.6,3.75,
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4,,46.2,44.1,46,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.34,6.96,7.77,6.78,4.58,,0.378,0.552,0.849,,1.15,0.828,1.19,1.15,1.83,1.11,1.41,1.25,,,
Cuba,,,25.8,22.4,21.1,,,,,8.05,,,,,,,9.64,12.9,16.5,15.2,12.6,12.5,14.9,,21.3,,,,,3.42,3.96,6.75,3.39,0.0254,0.439,0.379,0.149,1.78,3.58,6.79,5.46,4.79,3.21,4.33,2.68,2.6,1.69,2.73,5.49,
Cyprus,,35.8,32.6,26.2,26,30.8,29.8,27.2,,,,,,,,,,,,,,,,,,,,,,3.22,4.57,3.16,0.105,0.655,1.12,0.474,0.338,0.319,0.153,0.339,3.97,4.33,1.41,0.393,0.299,1.87,2.31,0.448,,
Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.24,0.389,,0.0299,,,,7.97,,,,,0.0599,0.0982,0.212,0.0907,0.676,,
Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.907,,0.666,6.75,2.94,,0.731,0.528,0.999,1.43,0.629,0.129,0.179,0.321,2.53,3,2.9,2.15,1.26,0.545,,
Djibouti,,,,,,,,,,,,,,,,78.8,78.1,78.6,78.7,,,,,,,,,77.6,,,,76.3,73.2,,69.5,69.3,70.6,66.8,55.7,,,,,,,47.7,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,,4.72,,3.74,1.21,6.94,18.1,,,22,15.6,17,,,,2,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8,14.9,,6.99,,5.87,5.8,,6.34,4.22,8.91,8.1,6.72,6.48,2.11,1.88,1.99,5.72,7.92,10.7,
Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.5,27.5,27.4,27.5,26.8,26.8,,24.1,23,22.7,,14.6,13.7,13.9,8.57,1.56,0.876,1.55,1.66,3.76,4.81,
Egypt,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,15.4,15.4,,,,,,,,,,10.7,,4.98,5.13,4.2,
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.9,13.6,8.94,,,4.39,11,9.8,8.5,7.06,,,,,,6.98,11.8,17.2,17,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4,,,,,,,,,,,,,,,,,,
Eritrea,,,,,,,,,,,,,,,,,,,,,,,,,47.9,46.5,,47.7,,48.2,44.7,47.7,44.1,41,42.4,39.8,37.9,37.2,32.1,29.2,26.9,24.4,25.1,34.5,35.6,35.4,,34.9,36.1,
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,1.98,2.47,1.84,1.8,1.56,1.24,1.08,0.596,1.69,4.25,5.81,5.66,2.45,0.305,0.762,0.642,0.771,0.466,1.3,,
Eswatini,47.3,46.6,42.8,,36.6,37.9,38.6,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.15,10.2,6.85,5.33,2.12,3.55,2.76,,,,
Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.8,66.1,62.2,57.8,54.3,51.7,48.5,44.5,42.5,41.5,43.4,41,42,40.3,,47.3,47,,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,6.21,6.09,2.66,19.3,1.1,,,,,2.75,,2.04,3.72,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204,,0.301,2.38,3.37,2.04,0.161,0.103,0.0235,0.0218,1.24,1.78,2.35,1.81,1.58,1.95,1.21,1.02,0.742,0.862,0.475,,
France,,,,,,,5.59,,,,,,,,,,3.22,,,,,,,,0.295,0.326,0.59,,,4.91,5.23,5.64,6.02,5.99,5.91,0.884,0.785,1.07,0.83,0.693,0.555,1.58,1.69,2,2.73,2.21,1.76,1.28,,
Gambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4,37.6,34.7,,31.3,,,,,,,,,
Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,19.6,12.7,,,,,,,,1.33,3.55,3.83,4.68,2.72,,,,2.19,1.45,0.393,0.262,0.199,0.178,
Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.349,0.231,0.084,0.723,1.73,2.9,2.47,2.19,2.59,3.36,2.13,3.14,4.26,4.68,4.65,4.72,,
Ghana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,36.8,38.3,34.1,34.8,,22.4,17.2,21.2,19,19.4,,,,12.3,15,9.49,11.8,12.1,15.5,10.6
Greece,,,33.3,31.8,31,28.1,26.3,22.2,22.3,19.7,9.64,,9.25,,10.6,9.41,8.17,6.41,7.45,7.79,9.11,9.01,9.46,,9.06,7.52,12.2,11.8,11.9,11.6,10.8,7.04,5.11,3.91,4.98,3.85,4.38,5.49,,,1.9,,,5.43,6.91,3.6,4.25,3.67,,
Grenada,,,0.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.71,14,1.44,3.05,,,,,,,,1.92,3.2,,,,,
Guatemala,,,73.8,,71.4,71,,,,64.4,65.8,,63.8,,,,,,,,,,,,,,,,,46.7,44.7,39.1,37.6,,,,,,28.7,25.2,18.9,22.9,27.1,27.4,27.8,28.4,31,33.1,32.8,
Guinea,,,,,,,,,,,,,,,,,80.9,,,81.6,81.8,,,,,,,,,69.1,,65.9,62.1,61.5,59.1,55.8,54.4,,,,,52.8,,,51.2,,,,,
Guinea-Bissau,,,,,,,,,,,,61.9,88.2,,87.8,,,,,,,,,,,,,,,,51.1,,,,,,,,,,,,,,,,,,,
Guyana,,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,,3.31,7.37,,,,,,,
Honduras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9,37.5,36.9,38.1,38.2,,
Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.83,1.56,1.61,2.35,1.62,0.506,0.183,0.862,0.0583,0.224,2.35,3.18,3.99,4.69,4.28,3.48,3.08,2.83,3,3.63,3.55,,
Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.12,6.8,8.52,5.99,2.01,,,0.109,0.976,2.53,3.13,4.17,4.13,3.29,2.02,1.71,0.703,0.53,0.142,0.483,,
India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.9,,,,,,
Indonesia,,,59.2,,59.3,58.7,58.1,57.2,54,,,,,,,,,26.7,,,,,,,,34.4,,,,,,27.9,27.8,22.9,21.7,23.6,27,18.2,21.1,18.5,17.1,15.3,14.5,13.7,13.4,,,,16.3,
Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.98,10.9,8.65,7.9,6.53,5.89,,5.32,4.74,,
Iraq,,,,,,49.5,44.9,40,36.9,31.8,30.4,30.9,,,,31.9,,34.7,37.6,37.8,,,,42.7,,,,,,50.4,47.2,,,40.7,36.5,,,28.1,,,,,,,,,,,,
Ireland,,5.35,5.01,1.65,0.427,0.121,0.223,0.703,0.628,,0,,0.675,,,,,,,,,5.12,2.54,,,0.893,4.47,6.09,3.84,1.09,1.62,2,2.24,2.07,1.45,1.26,1.27,1.01,1.22,1.13,0.691,,0.43,,0.192,0.303,0.371,0.492,,
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.198,0.00168,0.0121,0.035,,,,,,,
Italy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.33,0.338,0.11,0.369,0.147,0.228,0.415,0.547,0.548,0.44,0.469,0.398,0.374,0.204,0.101,0.208,0.417,1.02,1.66,,
Jamaica,,,,,,,14.1,3.52,,,,3.49,,3.31,3.47,1.84,3.98,,,,,,,,,,,,,6.93,11.6,13,11.7,11.1,5.24,5.55,,,,,,,,20.2,18.5,18.7,20.1,20.7,17.9,
Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.8,15.1,,11.7,11.6,11.7,15.2,11.9,,10.1,,,18.7,,27.7,28.5,,,31.2,30.8,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.38,0.147,0.382,1.42,0.908,0.818,0.151,0.0575,0.11,0.293,0.261,0.21,0.0471,0.292,,,,,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.8,,16,4.73,3.3,1.98,4.5,2.23,0.704,1.83,,,,,,,,,,
Kiribati,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,,18.4,23.5,27.3,,,,,11.8,11.1,8.04,,,,,,,,,,,,45.6,,23.2,,,,,8.89,6.2,4.43,,3.35,3.59,,,3.78,2.73,,2.79,5.95,7.07,8.71,8,6.28,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,10.2,8.44,8.06,7.4,,,,,9.08,8.52,7.98,6.03,4.36,3.01,
Lao,,,,,,,,,,,,,,,,,,,,,,,37.5,33.5,30.2,,,24.8,24.4,27,28.9,30,27.6,27.1,26,26.3,26.7,27.5,25.5,23.9,28.6,28.1,25.3,23.1,19.4,18.6,23,22.2,25,
